,uid,lat,lng,venueID,venue_descr,time,city_name,First_Category,Second_Category
50206,316,40.66579670992044,-74.23464338560488,24457,Pizza Place,2012-04-20 17:04:15+00:00,New York City,Dining and Drinking,Restaurant
50207,316,40.66385080182638,-74.2341148853302,17240,Coffee Shop,2012-04-20 17:11:01+00:00,New York City,Dining and Drinking,"Cafe, Coffee, and Tea House"
50208,316,40.662773734195525,-74.23347989600978,15105,Drugstore / Pharmacy,2012-04-27 20:07:58+00:00,New York City,Retail,Pharmacy
50209,316,40.66388312822258,-74.23345123853753,20494,Miscellaneous Shop,2012-04-27 21:07:03+00:00,New York City,Retail,Miscellaneous Store
50210,316,40.6634845768043,-74.24032688140869,14901,Food & Drink Shop,2012-06-08 19:17:44+00:00,New York City,Retail,Food and Beverage Retail
50211,316,40.66363300608143,-74.23488983811913,22837,Miscellaneous Shop,2012-06-08 21:28:53+00:00,New York City,Retail,Miscellaneous Store
50212,316,40.6634845768043,-74.24032688140869,14901,Food & Drink Shop,2012-05-04 15:07:55+00:00,New York City,Retail,Food and Beverage Retail
50213,316,40.66363300608143,-74.23488983811913,22837,Miscellaneous Shop,2012-05-11 22:21:38+00:00,New York City,Retail,Miscellaneous Store
50214,316,40.662773734195525,-74.23347989600978,15105,Drugstore / Pharmacy,2012-05-11 22:36:54+00:00,New York City,Retail,Pharmacy
50215,316,40.65071228333333,-74.19519655,10038,Bank,2012-05-25 17:58:41+00:00,New York City,Business and Professional Services,Financial Service
50216,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-05-25 23:26:51+00:00,New York City,Travel and Transportation,Fuel Station
50217,316,40.66385080182638,-74.2341148853302,17240,Coffee Shop,2012-04-09 17:01:02+00:00,New York City,Dining and Drinking,"Cafe, Coffee, and Tea House"
50218,316,40.66347910292377,-74.23490703246824,33341,Food & Drink Shop,2012-04-09 17:08:20+00:00,New York City,Retail,Food and Beverage Retail
50219,316,40.66381371774316,-74.23420779430506,21756,Fast Food Restaurant,2012-04-09 17:16:11+00:00,New York City,Dining and Drinking,Restaurant
50220,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-04-16 21:14:22+00:00,New York City,Travel and Transportation,Fuel Station
50221,316,40.6634845768043,-74.24032688140869,14901,Food & Drink Shop,2012-04-23 18:08:59+00:00,New York City,Retail,Food and Beverage Retail
50222,316,40.66363300608143,-74.23488983811913,22837,Miscellaneous Shop,2012-04-23 18:38:07+00:00,New York City,Retail,Miscellaneous Store
50223,316,40.66381371774316,-74.23420779430506,21756,Fast Food Restaurant,2012-04-23 18:44:33+00:00,New York City,Dining and Drinking,Restaurant
50224,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-04-23 21:34:58+00:00,New York City,Travel and Transportation,Fuel Station
50225,316,40.66385080182638,-74.2341148853302,17240,Coffee Shop,2012-07-02 17:59:40+00:00,New York City,Dining and Drinking,"Cafe, Coffee, and Tea House"
50226,316,40.66533195806948,-74.23483371734619,11063,Burger Joint,2012-06-11 08:35:37+00:00,New York City,Dining and Drinking,Restaurant
50227,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-05-07 21:57:59+00:00,New York City,Travel and Transportation,Fuel Station
50228,316,40.66385080182638,-74.2341148853302,17240,Coffee Shop,2012-05-14 18:48:23+00:00,New York City,Dining and Drinking,"Cafe, Coffee, and Tea House"
50229,316,40.66381371774316,-74.23420779430506,21756,Fast Food Restaurant,2012-05-14 18:56:33+00:00,New York City,Dining and Drinking,Restaurant
50230,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-05-14 21:13:09+00:00,New York City,Travel and Transportation,Fuel Station
50231,316,40.66362,-74.23604,17137,Library,2012-05-21 19:36:17+00:00,New York City,Community and Government,Library
50232,316,40.662773734195525,-74.23347989600978,15105,Drugstore / Pharmacy,2012-05-21 20:26:13+00:00,New York City,Retail,Pharmacy
50233,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-05-21 21:21:08+00:00,New York City,Travel and Transportation,Fuel Station
50234,316,40.77552917709761,-73.97142385887315,35777,Moving Target,2012-05-28 18:49:28+00:00,New York City,Travel and Transportation,Moving Target
50235,316,40.66181299560839,-74.23360025734445,31277,Miscellaneous Shop,2012-04-07 18:22:44+00:00,New York City,Retail,Miscellaneous Store
50236,316,40.73308000062968,-74.1708254814148,3114,Stadium,2012-04-07 19:21:13+00:00,New York City,Arts and Entertainment,Stadium
50237,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-04-14 02:27:53+00:00,New York City,Travel and Transportation,Fuel Station
50238,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-04-21 02:40:24+00:00,New York City,Travel and Transportation,Fuel Station
50239,316,40.66533195806948,-74.23483371734619,11063,Burger Joint,2012-04-21 07:46:57+00:00,New York City,Dining and Drinking,Restaurant
50240,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-04-28 00:15:19+00:00,New York City,Travel and Transportation,Fuel Station
50241,316,40.66381371774316,-74.23420779430506,21756,Fast Food Restaurant,2012-04-28 18:52:47+00:00,New York City,Dining and Drinking,Restaurant
50242,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-04-28 23:28:24+00:00,New York City,Travel and Transportation,Fuel Station
50243,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-06-02 23:30:54+00:00,New York City,Travel and Transportation,Fuel Station
50244,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-06-09 23:08:21+00:00,New York City,Travel and Transportation,Fuel Station
50245,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-05-05 23:57:27+00:00,New York City,Travel and Transportation,Fuel Station
50246,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-05-12 01:26:14+00:00,New York City,Travel and Transportation,Fuel Station
50247,316,40.65768167644961,-74.2187511920929,18093,Pizza Place,2012-05-12 22:19:34+00:00,New York City,Dining and Drinking,Restaurant
50248,316,40.66347910292377,-74.23490703246824,33341,Food & Drink Shop,2012-06-10 20:10:51+00:00,New York City,Retail,Food and Beverage Retail
50249,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-06-17 00:08:46+00:00,New York City,Travel and Transportation,Fuel Station
50250,316,40.662810107126816,-74.23345640301704,14651,Bar,2012-05-06 23:51:33+00:00,New York City,Dining and Drinking,Bar
50251,316,40.65640341971377,-74.22990914051672,27163,Gas Station / Garage,2012-05-13 00:20:24+00:00,New York City,Travel and Transportation,Fuel Station
50252,316,40.746736760718505,-73.98262023925781,34812,Other Great Outdoors,2012-06-21 04:31:04+00:00,New York City,Landmarks and Outdoors,Other Great Outdoors
50253,316,40.66468497353671,-74.23176527023315,14853,Food & Drink Shop,2012-06-21 04:45:46+00:00,New York City,Retail,Food and Beverage Retail
50254,316,40.66331,-74.23361599445343,19443,Post Office,2012-05-03 17:08:55+00:00,New York City,Community and Government,Government Building
50255,316,40.66381371774316,-74.23420779430506,21756,Fast Food Restaurant,2012-05-03 17:48:27+00:00,New York City,Dining and Drinking,Restaurant
50256,316,40.662773734195525,-74.23347989600978,15105,Drugstore / Pharmacy,2012-05-10 21:41:52+00:00,New York City,Retail,Pharmacy
50257,316,40.66028201346744,-74.23274053179387,23767,Fried Chicken Joint,2012-04-17 17:51:47+00:00,New York City,Dining and Drinking,Restaurant
50258,316,40.662810107126816,-74.23345640301704,14651,Bar,2012-06-05 00:11:43+00:00,New York City,Dining and Drinking,Bar
50259,316,40.662810107126816,-74.23345640301704,14651,Bar,2012-06-05 01:30:44+00:00,New York City,Dining and Drinking,Bar
50260,316,40.65795384669714,-74.22702038864021,11088,Fast Food Restaurant,2012-06-12 17:25:44+00:00,New York City,Dining and Drinking,Restaurant
50261,316,40.66362,-74.23604,17137,Library,2012-05-29 16:37:04+00:00,New York City,Community and Government,Library
50262,316,40.66363300608143,-74.23488983811913,22837,Miscellaneous Shop,2012-04-04 18:12:09+00:00,New York City,Retail,Miscellaneous Store
50263,316,40.66381371774316,-74.23420779430506,21756,Fast Food Restaurant,2012-04-11 18:43:46+00:00,New York City,Dining and Drinking,Restaurant
50264,316,40.66363300608143,-74.23488983811913,22837,Miscellaneous Shop,2012-04-18 21:56:50+00:00,New York City,Retail,Miscellaneous Store
50265,316,40.66381371774316,-74.23420779430506,21756,Fast Food Restaurant,2012-05-09 16:50:05+00:00,New York City,Dining and Drinking,Restaurant
